,Name,Entry Number,Timestamp,Total Time,Status
148,oHhxLftUHx_7205CUV2945,7205CUV2945,"['11:40:22,11:41:35,00:01:13']",00:01:13,Absent
149,oLXNJdcJHQ_4619LUN9375,4619LUN9375,"['11:01:33,12:03:59,01:02:26']",01:02:26,Present
150,oRpxkkLxga_7345GWD1281,7345GWD1281,"['11:00:08,12:27:30,01:27:22']",01:27:22,Present
151,oasqZpdZlR_2848YJV3237,2848YJV3237,"['11:01:47,12:24:35,01:22:48']",01:22:48,Present
152,oqnGUXeFAs,,"['10:56:53,10:57:01,00:00:08', '10:57:07,10:59:05,00:01:58', '10:59:06,11:00:25,00:01:19', '11:01:08,12:26:59,01:25:51']",01:29:16,Present
153,pBSoqPEOum_2040CET8868,2040CET8868,"['10:58:27,10:58:52,00:00:25', '11:00:32,2020-09-26 12:30:59,01:30:27']",01:30:52,Present
154,pcvxUBipVY,,"['11:15:27,12:25:13,01:09:46']",01:09:46,Present
155,qAxslqgLKh,,"['10:56:16,10:59:05,00:02:49', '10:59:06,12:24:58,01:25:52']",01:28:41,Present
156,qHWOAjntMj_5833YPO1872,5833YPO1872,"['11:03:01,12:26:57,01:23:56']",01:23:56,Present
157,qORjpZMNSx,,"['10:58:58,10:59:33,00:00:35', '11:00:30,12:03:51,01:03:21']",01:03:56,Present
158,rAOxizIzMk_5734SSU9984,5734SSU9984,"['11:14:25,11:20:25,00:06:00']",00:06:00,Absent
159,rDSSIUiBmA_7715HZC7005,7715HZC7005,"['11:03:40,12:14:23,01:10:43', '12:14:30,12:25:04,00:10:34']",01:21:17,Present
160,rNUJgstGPX_5644TVQ9526,5644TVQ9526,"['10:59:47,11:00:02,00:00:15', '11:00:02,12:25:12,01:25:10']",01:25:25,Present
161,rSvuQhHBYG_9587DHI4585,9587DHI4585,"['11:11:30,12:09:29,00:57:59']",00:57:59,Present
162,sNWAQuVvvv_0698TFZ4702,0698TFZ4702,"['11:07:40,2020-09-26 12:30:59,01:23:19']",01:23:19,Present
163,siTANKbXBv_6499FBH4260,6499FBH4260,"['11:00:05,12:15:24,01:15:19']",01:15:19,Present
164,soifitpHBu_3880UTZ8392,3880UTZ8392,"['10:58:08,10:59:05,00:00:57', '10:59:06,12:24:29,01:25:23']",01:26:20,Present
165,sswFOFprNB_5884BJD5270,5884BJD5270,"['11:10:35,12:25:16,01:14:41']",01:14:41,Present
166,tJlACwsVky_2400JSL9809,2400JSL9809,"['11:04:00,11:04:13,00:00:13']",00:00:13,Absent
167,tNVRnELxcq_8283JOX5677,8283JOX5677,"['10:59:12,11:16:55,00:17:43', '11:17:42,12:24:01,01:06:19']",01:24:02,Present
168,tSspauAitM_9311BGG8884,9311BGG8884,"['11:27:38,11:28:47,00:01:09', '11:30:34,11:44:52,00:14:18']",00:15:27,Absent
169,ujtxtimmEQ_8865LFJ1266,8865LFJ1266,"['11:02:43,11:02:59,00:00:16', '11:03:19,12:25:01,01:21:42']",01:21:58,Present
170,unIbmqqjtk_3698AXU0434,3698AXU0434,"['11:55:42,11:58:13,00:02:31']",00:02:31,Absent
171,upGbxkLqRg_0160WVX3227,0160WVX3227,"['11:04:42,11:04:59,00:00:17', '11:04:59,11:05:34,00:00:35', '11:07:32,11:12:04,00:04:32']",00:05:24,Absent
172,uxSFLUSoQP_6252QPF1234,6252QPF1234,"['11:05:07,11:14:35,00:09:28']",00:09:28,Absent
173,vqAcXQdFON_5799AZD8230,5799AZD8230,"['11:16:44,11:45:33,00:28:49']",00:28:49,Absent
174,wQVKKTzDVa_2455EAB5474,2455EAB5474,"['10:56:12,12:25:10,01:28:58']",01:28:58,Present
175,xAHfCRCFGl_2874ZKX3494,2874ZKX3494,"['10:56:19,12:25:34,01:29:15']",01:29:15,Present
176,xXEDCWzOIP_7823TZJ1544,7823TZJ1544,"['11:03:54,12:23:36,01:19:42']",01:19:42,Present
177,xzdOqziODg_1647CUT0284,1647CUT0284,"['11:56:03,12:06:08,00:10:05']",00:10:05,Absent
178,yGFitETYYX_1847UYX8246,1847UYX8246,"['11:00:47,11:01:11,00:00:24']",00:00:24,Absent
179,yMhTrJwXEX,,"['11:12:32,12:03:03,00:50:31', '12:04:41,12:11:01,00:06:20']",00:56:51,Present
180,yRTizWDYpn,,"['11:01:03,11:05:09,00:04:06', '11:05:12,11:07:02,00:01:50']",00:05:56,Absent
181,yaVPZmuxEq_8134RBT4147,8134RBT4147,"['11:45:53,11:48:00,00:02:07']",00:02:07,Absent
182,zMQzzyyvHG_2698JIY9083,2698JIY9083,"['11:01:44,12:16:50,01:15:06']",01:15:06,Present
183,zbNFtvKtoc_3362CUC5152,3362CUC5152,"['11:07:04,12:24:40,01:17:36']",01:17:36,Present
184,zwwCXzrFgt_9217TZY2307,9217TZY2307,"['11:01:17,11:03:05,00:01:48', '11:03:22,11:07:12,00:03:50', '12:13:07,12:15:03,00:01:56']",00:07:34,Absent
